,episode,score
0,0.0,0.7194025000000001
1,1.0,1.5284025000000003
2,2.0,2.137902500000001
3,3.0,2.9578050000000013
4,4.0,3.567305000000002
5,5.0,4.567305000000001
6,6.0,5.185804999999999
7,7.0,5.995304999999997
8,8.0,6.595304999999996
9,9.0,7.3132574999999935
10,10.0,8.24125749999999
11,11.0,9.16975749999999
12,12.0,10.06011249999999
13,13.0,11.006564999999986
14,14.0,11.715064999999983
15,15.0,12.533564999999983
16,16.0,13.159477249999982
17,17.0,13.814565487499983
18,18.0,15.007212987499978
19,19.0,15.846508724999975
20,20.0,16.884816224999987
21,21.0,17.81722921249999
22,22.0,18.417229212499986
23,23.0,19.36268171249999
24,24.0,20.172181712499995
25,25.0,21.209265437499994
26,26.0,22.2484754375
27,27.0,22.866020925000004
28,28.0,23.702073425000002
29,29.0,25.631546832849466
30,30.0,26.582169532849477
31,31.0,27.601572032849475
32,32.0,28.220572032849475
33,33.0,30.959298931241015
34,34.0,31.715301431241002
35,35.0,32.67416546139695
36,36.0,33.59447046139695
37,37.0,34.19563771139697
38,38.0,35.09178547377197
39,39.0,35.91159047377198
40,40.0,36.67057457502197
41,41.0,37.34081817970616
42,42.0,38.30482489608116
43,43.0,38.84638288358117
44,44.0,39.63869812108116
45,45.0,40.560077096081166
46,46.0,41.64980116739367
47,47.0,42.37793429995617
48,48.0,43.1657396828874
49,49.0,43.99694718288738
50,50.0,44.68364792038738
51,51.0,45.40214792038739
52,52.0,46.177851157887396
53,53.0,47.21519439538739
54,54.0,47.843209832887396
55,55.0,48.661614832887395
56,56.0,49.5088748328874
57,57.0,50.27463483288739
58,58.0,51.09294233288739
59,59.0,51.78606740238052
60,60.0,52.295067402380525
61,61.0,53.051544852581166
62,62.0,54.22779298514368
63,63.0,54.96389298514368
64,64.0,55.719360197643674
65,65.0,56.63782608639367
66,66.0,57.4199539056034
67,67.0,58.59765428728656
68,68.0,59.22483837899874
69,69.0,59.99795240836749
70,70.0,60.8349049083675
71,71.0,61.805905276129714
72,72.0,62.925961399930294
73,73.0,63.91237133497972
74,74.0,64.94017883497972
75,75.0,65.59921066410037
76,76.0,66.77195329883787
77,77.0,67.52871152383786
78,78.0,68.29023072499129
79,79.0,69.23745665414164
80,80.0,70.21371665414163
81,81.0,70.87875287914162
82,82.0,71.77772013333538
83,83.0,72.72835178657478
84,84.0,73.66661178657479
85,85.0,74.60730480544979
86,86.0,75.391920323752
87,87.0,76.38675918663677
88,88.0,77.19602350794923
89,89.0,78.13252350794926
90,90.0,78.99675050794929
91,91.0,80.16683292473292
92,92.0,81.13102091488886
93,93.0,81.77144324307307
94,94.0,82.27095714630491
95,95.0,83.2260459276799
96,96.0,84.14871721717303
97,97.0,87.90490867290787
98,98.0,88.96258067162773
99,99.0,89.83709860530713
100,100.0,90.7600190913473
101,101.0,91.67976613543449
102,102.0,92.37342474774695
103,103.0,93.41990801077162
104,104.0,94.40637660180192
105,105.0,95.11785228304898
106,106.0,95.89793137075118
107,107.0,98.02541508148242
108,108.0,98.70269487521959
109,109.0,99.4627885810297
110,110.0,100.5778898358044
111,111.0,101.78065507330436
112,112.0,102.58180992103557
113,113.0,103.25515815853554
114,114.0,105.53175154955467
115,115.0,106.46860716396432
116,116.0,107.33883224586401
117,117.0,108.18491065389756
118,118.0,109.27403357691573
119,119.0,110.33309013190947
120,120.0,111.15083060346912
121,121.0,111.76878310346915
122,122.0,112.63263781218834
123,123.0,113.3894168438618
124,124.0,114.2016133610138
125,125.0,115.2297087512638
126,126.0,116.20138895337737
127,127.0,117.01388403064276
128,128.0,118.28647177418313
129,129.0,119.23357058580245
130,130.0,120.00706511980997
131,131.0,122.50808775730168
132,132.0,123.04387946980168
133,133.0,124.0503369526142
134,134.0,125.0054022151767
135,135.0,125.83571324346862
136,136.0,126.66359342313515
137,137.0,127.62304647625389
138,138.0,128.60715863055526
139,139.0,129.2534688506554
140,140.0,131.23109761529471
141,141.0,132.42307367467086
142,142.0,133.3333653871709
143,143.0,134.15922580098277
144,144.0,135.18200971996657
145,145.0,135.9492971337572
146,146.0,136.78208703046053
147,147.0,137.65980175542367
148,148.0,138.55260303379728
149,149.0,139.15503962713814
150,150.0,139.8398314977318
151,151.0,140.79744117277227
152,152.0,141.84298989890624
153,153.0,142.4599463440833
154,154.0,142.86367276749334
155,155.0,143.8144100090329
156,156.0,144.7525043079643
157,157.0,145.39017318421423
158,158.0,146.30267909318343
159,159.0,147.04384079079455
160,160.0,148.13068457941952
161,161.0,149.22662737965942
162,162.0,150.4416829372255
163,163.0,153.30035564619425
164,164.0,154.17189743231881
165,165.0,155.05288966889157
166,166.0,156.17504650654823
167,167.0,156.8492630484419
168,168.0,158.05354878600238
169,169.0,159.17920170089675
170,170.0,159.75328862496093
171,171.0,160.62309235260886
172,172.0,161.65204565560722
173,173.0,162.60453661348373
174,174.0,163.2545174986643
175,175.0,164.1085449038034
176,176.0,164.78476083642835
177,177.0,165.467056651524
178,178.0,166.3945154980361
179,179.0,167.36216839128346
180,180.0,168.29369078904645
181,181.0,169.51151609734913
182,182.0,170.4361785856677
183,183.0,171.19913912294075
184,184.0,172.51920423754038
185,185.0,173.6070038781021
186,186.0,174.49811062322541
187,187.0,175.66960876117903
188,188.0,176.6881613203035
189,189.0,177.81440549108387
190,190.0,178.6141243355707
191,191.0,179.7247739669354
192,192.0,180.62126967409083
193,193.0,181.80655526984998
194,194.0,182.8540039861625
195,195.0,183.52108678668202
196,196.0,184.2512728435348
197,197.0,185.14858642957688
198,198.0,186.24320638838344
199,199.0,187.25442923373598
200,200.0,187.8921007426253
201,201.0,188.76333088070365
202,202.0,189.58928914489493
203,203.0,190.32803684129888
204,204.0,191.173075113163
205,205.0,192.4252731189976
206,206.0,193.39408339750582
207,207.0,194.4332739728932
208,208.0,195.22030204399624
209,209.0,196.19310332571044
210,210.0,197.29307462247723
211,211.0,197.99435830495904
212,212.0,198.79893411001598
213,213.0,199.7248225867947
214,214.0,200.58212341691168
215,215.0,201.54825817919087
216,216.0,202.42833094020102
217,217.0,202.97932956649527
218,218.0,204.15500568374975
219,219.0,205.25438362784593
220,220.0,206.29739116598319
221,221.0,207.3232040120053
222,222.0,207.86171484681802
223,223.0,209.00600985528436
224,224.0,209.727986319076
225,225.0,211.48445231619527
226,226.0,212.4130648080959
227,227.0,213.17582673018424
228,228.0,214.03693052722338
229,229.0,215.158963581283
230,230.0,215.85000789951837
231,231.0,216.6952069912629
232,232.0,217.66066058832547
233,233.0,218.27468745652882
234,234.0,219.09206224445384
235,235.0,219.98583944650167
236,236.0,220.97824521473083
237,237.0,221.7013792253998
238,238.0,222.91498971508508
239,239.0,224.06930587800034
240,240.0,225.0944606474641
241,241.0,226.10879213662164
242,242.0,227.10310904534256
243,243.0,228.06556569348123
244,244.0,228.90644427982718
245,245.0,229.63377125865918
246,246.0,230.35280075239586
247,247.0,231.68871999172953
248,248.0,232.29166984984238
249,249.0,233.23357663388754
250,250.0,234.29413836220348
251,251.0,235.3730543812424
252,252.0,236.32589422079062
253,253.0,237.30354752409673
254,254.0,238.24584689522732
255,255.0,239.5843383597303
256,256.0,240.42025610680153
257,257.0,241.1397720613571
258,258.0,241.8588270561847
259,259.0,242.79117806708348
260,260.0,243.53412190637076
261,261.0,243.97734025180551
262,262.0,244.7377145156039
263,263.0,245.65906486893772
264,264.0,246.85539741858219
265,265.0,247.83451142430778
266,266.0,248.89287972501484
267,267.0,249.88527738649248
268,268.0,250.93600279636286
269,269.0,251.70362886532462
270,270.0,252.28575859781367
271,271.0,253.27582636870162
272,272.0,254.01504835317442
273,273.0,254.74700552999596
274,274.0,255.83648847436532
275,275.0,256.8782680125757
276,276.0,257.8213982233645
277,277.0,258.951922524295
278,278.0,260.09113608530373
279,279.0,260.74074139697944
280,280.0,261.71960831561796
281,281.0,262.80100838047116
282,282.0,263.91166875506906
283,283.0,265.1398075431148
284,284.0,266.1945062457146
285,285.0,267.28853456642554
286,286.0,267.998252882311
287,287.0,269.0490668928296
288,288.0,269.87486000093827
289,289.0,270.82954425603805
290,290.0,271.61465100261296
291,291.0,272.5145442926632
292,292.0,273.40322027126825
293,293.0,274.3287083005585
294,294.0,275.440060137274
295,295.0,276.2970995610804
296,296.0,277.26406683347875
297,297.0,278.2995925602702
298,298.0,279.2427453100038
299,299.0,279.8137847131869
300,300.0,280.7954283966058
301,301.0,281.8809628740743
302,302.0,282.5129463333458
303,303.0,283.69480958658954
304,304.0,284.80427905627033
305,305.0,285.84838788182947
306,306.0,286.7585300253933
307,307.0,287.79608488746067
308,308.0,288.5528022967571
309,309.0,289.5932504544817
310,310.0,290.441920289342
311,311.0,291.2242177513165
312,312.0,292.1717493283219
313,313.0,292.7312199249392
314,314.0,293.92316246792916
315,315.0,294.23688987654185
316,316.0,295.13990695954
317,317.0,295.9683453931523
318,318.0,296.4897656897165
319,319.0,297.015425975885
320,320.0,297.94577325363997
321,321.0,298.9761982143727
322,322.0,299.60803138661504
323,323.0,300.85218011855113
324,324.0,301.7518378764022
325,325.0,302.79834267573574
326,326.0,303.6942728101426
327,327.0,304.8251194006859
328,328.0,305.8565132822286
329,329.0,306.63455207016585
330,330.0,307.5605248114673
331,331.0,308.7423694187137
332,332.0,309.80068659074584
333,333.0,310.8734794285096
334,334.0,311.75267498565864
335,335.0,312.3308109239004
336,336.0,313.26004705589446
337,337.0,313.9359235729575
338,338.0,314.81969172030733
339,339.0,315.48633081976834
340,340.0,316.613835456987
341,341.0,317.2125652458345
342,342.0,317.8405292113779
343,343.0,318.554068947162
344,344.0,319.59953834245937
345,345.0,320.713301990625
346,346.0,321.7558074820922
347,347.0,322.64079941183945
348,348.0,323.7043092089882
349,349.0,324.6329729003378
350,350.0,325.22622676487697
351,351.0,326.3222872648222
352,352.0,327.2189626688008
353,353.0,328.56732617729034
354,354.0,329.5871998532111
355,355.0,330.2130863243593
356,356.0,331.27598465588187
357,357.0,332.0338406448894
358,358.0,333.1466996456057
359,359.0,333.852990468249
360,360.0,335.11724468312997
361,361.0,335.97582578959646
362,362.0,337.12712031479873
363,363.0,337.71385548773736
364,364.0,338.6696623049984
365,365.0,339.7486504016844
366,366.0,340.83482412178836
367,367.0,341.41100348986816
368,368.0,341.8287892101601
369,369.0,342.9411561294489
370,370.0,343.9729048870711
371,371.0,344.96685091745735
372,372.0,345.78237390720284
373,373.0,346.92215661497244
374,374.0,348.1041783509989
375,375.0,349.12277145625956
376,376.0,349.5707996298009
377,377.0,350.55890677201893
378,378.0,351.40209701443297
379,379.0,352.75710283238516
380,380.0,353.63654681613707
381,381.0,353.9949324093259
382,382.0,354.6942996063139
383,383.0,355.716496207699
384,384.0,356.70806725828345
385,385.0,357.42167849454154
386,386.0,358.2874830897338
387,387.0,359.3430030291376
388,388.0,360.1069459380991
389,389.0,360.94777983586425
390,390.0,361.79011701716513
391,391.0,362.4779597242459
392,392.0,363.2338451554102
393,393.0,364.0571538295411
394,394.0,365.0383611388635
395,395.0,365.9688057700836
396,396.0,366.98741984266786
397,397.0,366.4656613677226
398,398.0,367.4069527638159
399,399.0,368.39980103059617
400,400.0,369.04032479013574
401,401.0,368.56815436771893
402,402.0,369.4477902620996
403,403.0,370.24488209325557
404,404.0,371.27111161814094
405,405.0,372.1811961506258
406,406.0,373.2067407821682
407,407.0,373.84896573362977
408,408.0,374.8066347908652
409,409.0,375.372343699163
410,410.0,376.1933591407569
411,411.0,377.1718612901012
412,412.0,378.22455216716503
413,413.0,379.21506346384757
414,414.0,380.06782340229887
415,415.0,381.2516656200991
416,416.0,382.29895821420433
417,417.0,383.50063653793626
418,418.0,384.54332637390223
419,419.0,384.44447778381704
420,420.0,385.26466076685386
421,421.0,386.0633987293871
422,422.0,387.16269007770626
423,423.0,388.07136950583657
424,424.0,389.0579623396774
425,425.0,389.9983417719968
426,426.0,390.56047918113177
427,427.0,391.0407736379523
428,428.0,392.01623488308917
429,429.0,392.7230668449466
430,430.0,393.79876665889594
431,431.0,394.4262986505341
432,432.0,395.0966942106842
433,433.0,396.2388831846546
434,434.0,397.1151270175626
435,435.0,396.4427188080936
436,436.0,397.3985570255585
437,437.0,397.04130485988105
438,438.0,398.01836468173343
