,episode,score
0,0.0,3.593305450789514
1,1.0,7.218553176305469
2,2.0,13.39729957896401
3,3.0,18.66029430191237
4,4.0,21.37741029995526
5,5.0,25.833714702086663
6,6.0,30.28633188469862
7,7.0,35.542657239071644
8,8.0,40.9015932979582
9,9.0,47.25002042501036
10,10.0,53.289252304595095
11,11.0,57.36354552147048
12,12.0,60.43653748092473
13,13.0,64.09706277244229
14,14.0,68.45765649674195
15,15.0,72.7669312115386
16,16.0,76.78184294961517
17,17.0,80.52181411971657
18,18.0,84.88350492579357
19,19.0,88.95582379596931
20,20.0,93.21378657124666
21,21.0,96.58930490990357
22,22.0,100.28991614910325
23,23.0,103.73659681116123
24,24.0,106.8855724009791
25,25.0,110.04878604284394
26,26.0,112.34409303475408
27,27.0,113.49301302605265
28,28.0,115.56194451095426
29,29.0,118.88636713930572
30,30.0,121.9751486450481
31,31.0,126.45770867082423
32,32.0,131.3911507676272
33,33.0,133.23292190475962
34,34.0,135.1535956632255
35,35.0,139.033916715681
36,36.0,139.79584409118183
37,37.0,143.3141559110477
38,38.0,146.38406222073462
39,39.0,149.355433949602
40,40.0,152.90831925994914
41,41.0,154.9077676554821
42,42.0,156.8467369477984
43,43.0,158.6738106738489
44,44.0,161.09714442375912
45,45.0,164.06252918834446
46,46.0,166.05706172968686
47,47.0,167.46178203563977
48,48.0,169.74597327406846
49,49.0,170.88565662445757
50,50.0,172.31509840426918
51,51.0,173.70124995097055
52,52.0,175.37482070088373
53,53.0,177.37572421820795
54,54.0,178.7216627513479
55,55.0,180.36186967590965
56,56.0,181.01264911286046
57,57.0,182.69341023782806
58,58.0,184.60761314277744
59,59.0,185.4362087821958
60,60.0,186.24358801159858
61,61.0,187.27816956263717
62,62.0,186.37117540198966
63,63.0,187.4041128923256
64,64.0,188.40543220153867
65,65.0,188.2911403729045
66,66.0,187.58258929883763
67,67.0,186.5940369229259
68,68.0,188.47865740589594
69,69.0,190.73106794449933
70,70.0,191.20001508846434
71,71.0,190.7739807213505
72,72.0,190.37130957348307
73,73.0,190.05173720299211
74,74.0,190.57795698441248
75,75.0,190.37167839310592
76,76.0,190.4175095416842
77,77.0,192.09718313335478
78,78.0,191.0613979812217
79,79.0,188.9714298496533
80,80.0,187.81952935806828
81,81.0,186.6189814452646
82,82.0,187.71922527095745
83,83.0,188.21386527177827
84,84.0,187.38185198171192
85,85.0,187.45262850478758
86,86.0,186.83585467508513
87,87.0,188.58111881474207
88,88.0,190.43547426736006
89,89.0,191.0725769613913
90,90.0,191.5905643527285
91,91.0,192.7821337454289
92,92.0,193.56778663836036
93,93.0,193.3019200643206
94,94.0,194.60279600720847
95,95.0,197.46119787911437
96,96.0,198.64333236832996
97,97.0,199.6509630924584
98,98.0,200.36957203169453
99,99.0,201.31754479125385
100,100.0,203.99912514367142
101,101.0,202.81126021695917
102,102.0,204.9122470820099
103,103.0,204.9262533413654
104,104.0,205.39924451132944
105,105.0,206.13630287094958
106,106.0,205.27411955677888
107,107.0,206.01814292736498
108,108.0,206.45215924333854
109,109.0,205.4890471442016
110,110.0,207.0629383367152
111,111.0,207.74576554822067
112,112.0,207.96122440290316
113,113.0,209.0692277468869
114,114.0,208.57055047792363
115,115.0,209.2295141473666
116,116.0,209.36149500325496
117,117.0,209.99230181275433
118,118.0,211.31459155250857
119,119.0,211.77010219429798
120,120.0,212.2374464253648
121,121.0,212.6215859868519
122,122.0,213.47934739307456
123,123.0,214.27750825561452
124,124.0,215.55876860432969
125,125.0,216.49769816884174
126,126.0,216.4492703090683
127,127.0,217.42818993778317
128,128.0,217.86833819980995
129,129.0,218.24097574476798
130,130.0,217.39769515390827
131,131.0,217.04429952728418
132,132.0,216.84880359691684
133,133.0,216.33240592287754
134,134.0,216.74737466841296
135,135.0,218.1242360345105
136,136.0,217.65480371653797
137,137.0,217.68884029791025
138,138.0,218.03920911066024
139,139.0,217.87378865276105
140,140.0,218.32999733797988
141,141.0,218.57045177964724
142,142.0,218.6817989684585
143,143.0,218.07805225808522
144,144.0,217.81338418407262
145,145.0,217.19427520802208
146,146.0,217.96686724918936
147,147.0,217.8610406341752
148,148.0,217.68244361508695
149,149.0,217.6684695259459
150,150.0,218.1463590237003
151,151.0,218.32086913816448
152,152.0,218.90617546416905
153,153.0,218.26507990219082
154,154.0,217.76147201978108
155,155.0,218.05286065632174
156,156.0,218.98031311805408
157,157.0,218.6810996258845
158,158.0,217.64519801606252
159,159.0,217.459958556237
160,160.0,217.1874339134814
161,161.0,218.26020935352392
162,162.0,218.13343818751568
163,163.0,218.04542238297574
164,164.0,217.8917280676251
165,165.0,218.7463144357397
166,166.0,217.57909698100693
167,167.0,217.3259247892915
168,168.0,216.85501912124874
169,169.0,217.32002100651127
170,170.0,217.17690473358377
171,171.0,216.86050547877807
172,172.0,217.08893905129628
173,173.0,218.3365955787388
174,174.0,218.08351164189145
175,175.0,218.25994599491887
176,176.0,218.35356700723406
177,177.0,217.85489782375413
178,178.0,217.72932233321518
179,179.0,217.1467300464014
180,180.0,216.85898944849805
181,181.0,217.53847937916728
182,182.0,217.36127534128593
183,183.0,216.3883873803133
184,184.0,216.98479492106145
185,185.0,216.49402582622326
186,186.0,216.35032922394367
187,187.0,215.13340042416388
188,188.0,213.96760527042818
189,189.0,213.4057542962693
190,190.0,212.99854922682712
191,191.0,213.69775896570877
192,192.0,214.59720949874685
193,193.0,213.98965922770435
194,194.0,213.5928765845741
195,195.0,212.65163089350688
196,196.0,211.75251266640086
197,197.0,211.57100439916434
198,198.0,211.85034772182996
199,199.0,211.52253126032969
200,200.0,211.14077923607118
201,201.0,211.18517719052707
202,202.0,211.41594802252828
203,203.0,211.39536211460236
204,204.0,211.52152500405168
205,205.0,211.17906030424007
206,206.0,210.0167769435941
207,207.0,210.07046069370324
208,208.0,207.56634943496275
209,209.0,207.64881237433622
210,210.0,207.95057661052863
211,211.0,206.69367371204032
212,212.0,207.1052679368276
213,213.0,206.94289319336053
214,214.0,207.39166672133675
215,215.0,206.4586302232554
216,216.0,206.88061890570475
217,217.0,207.52186207368402
218,218.0,206.65195935362647
219,219.0,206.82608990223895
220,220.0,205.25873356229272
221,221.0,204.35813340361955
222,222.0,202.02329415781537
